business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,"1900 Grant Ave, Ste M-N",Philadelphia,PA,19115.0,40.0839955,-75.0354963,2.5,6,0,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-02:00,11:00-02:00,11:00-23:00
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,824 S 8th St,Philadelphia,PA,19147.0,39.9389483,-75.1564078,4.0,79,0,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars",Closed,17:00-23:00,17:00-23:00,17:00-00:00,17:00-02:00,17:00-02:00,10:00-23:00
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,1128 S Broad St,Philadelphia,PA,19146.0,39.9368911,-75.1672837,2.5,16,1,"Restaurants, Fast Food",Closed,Closed,Closed,Closed,Closed,Closed,Closed
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103.0,39.9506555,-75.1708991,4.0,618,1,"Restaurants, American (New), Breakfast & Brunch, Burgers",Closed,17:00-21:00,17:00-21:00,17:00-21:00,16:00-21:00,16:00-22:00,16:00-21:00
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,Philadelphia,PA,19126.0,40.0520643,-75.1273939,4.5,351,1,"Korean, Restaurants",10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147.0,39.9418766,-75.1451988,4.0,604,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",Closed,16:00-22:00,16:00-22:00,12:00-22:00,16:00-00:00,11:00-00:00,10:00-02:00
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,"2400 Market St, Ste 427",Philadelphia,PA,19103.0,39.9535919923,-75.1794226902,3.5,163,0,"Restaurants, French",11:30-15:00,11:30-15:00,17:30-21:30,17:30-21:30,17:30-22:30,17:30-22:30,Closed
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,"4514 B City Line Ave, Ste 220",Philadelphia,PA,19131.0,40.0027825,-75.2222705,3.0,52,0,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",Closed,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,930 Locust St,Philadelphia,PA,19107.0,39.947207,-75.1572515,4.0,217,0,"Indian, Restaurants",Closed,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,700 S 5th St,Philadelphia,PA,19147.0,39.9408715785,-75.1510468125,4.0,166,0,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food",12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,10:00-00:00,10:00-00:00
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,9711 Roosevelt Blvd,Philadelphia,PA,19114.0,40.08178,-75.0267907,4.0,80,1,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",Closed,10:30-18:00,06:30-22:00,06:30-22:00,06:30-22:00,06:30-20:00,Closed
CPgWuWGZ4v2sZr5_-1kluw,Checkers,1208 N. Broad,Philadelphia,PA,19121.0,39.9719414,-75.159771,2.0,21,1,"Restaurants, Fast Food, Burgers",10:00-04:00,10:00-04:00,10:00-04:00,10:00-05:00,10:00-06:00,10:00-06:00,10:00-04:00
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,Philadelphia,PA,19123.0,39.960811,-75.1573883,4.0,31,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,325 N 12th St,Philadelphia,PA,19107.0,39.958422,-75.158257,3.0,29,0,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,Closed,Closed
yFqq66GxRjnhZXPgjA6hnw,KFC,716 Adams Ave,Philadelphia,PA,19124.0,40.031578,-75.104787,2.0,7,1,"Restaurants, Chicken Shop, Fast Food, Chicken Wings",10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-00:00,10:30-00:00,10:30-22:00
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,272 S 20th St,Philadelphia,PA,19103.0,39.948365,-75.1744997,4.0,28,1,"Restaurants, Indian",16:00-22:00,Closed,11:00-22:00,11:00-22:00,11:00-22:30,11:00-22:30,11:00-22:00
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,501 Franklin Mill Cir,Philadelphia,PA,19154.0,40.0884161,-74.9650112,1.5,20,1,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",05:30-00:00,05:30-00:00,05:30-00:00,05:30-00:00,05:30-01:00,05:30-01:00,07:00-23:00
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,629 S 2nd St,Philadelphia,PA,19147.0,39.9403745,-75.1456109,3.5,44,0,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants",12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,10:00-02:00,10:00-02:00
PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,PA,19103.0,39.9515211,-75.1798731,3.5,111,0,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch",17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-22:00,11:00-22:00,11:00-21:00
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4914 Baltimore Ave,Philadelphia,PA,19143.0,39.94796,-75.22198,4.0,301,1,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:30,07:00-15:30
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,Philadelphia,PA,19103.0,39.953291,-75.173645,4.0,65,1,"Restaurants, Delis, Salad, Sandwiches",06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,Closed,Closed
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,2401 E Allegheny Ave,Philadelphia,PA,19134.0,39.988107,-75.105553,3.5,6,1,"Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers",07:00-02:00,07:00-02:00,07:00-02:00,07:00-02:00,07:00-02:00,07:00-02:00,11:00-02:00
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,1411 Walnut St,Philadelphia,PA,19102.0,39.949603,-75.1649701595,3.5,149,0,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)",17:00-22:00,17:00-22:00,17:00-22:00,12:00-22:00,17:00-23:00,17:00-23:00,17:00-22:00
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,820 N Broad St,Philadelphia,PA,19130.0,39.9686973,-75.1606146,4.5,138,1,"Trinidadian, Caribbean, Restaurants, Seafood",Closed,12:00-21:00,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30
RrqRin8BYGrTlJbCDwtLzA,Wawa,3744 Spruce St,Philadelphia,PA,19104.0,39.9510885597,-75.1989988336,3.5,50,1,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",Closed,Closed,Closed,Closed,Closed,Closed,Closed
IgNDlyLERBwFGphgcC5VDQ,Cosi,1128 Walnut St,Philadelphia,PA,19107.0,39.9487514826,-75.1604487143,2.5,63,0,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)",06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,07:00-22:00,07:00-22:00
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,915 Race St,Philadelphia,PA,19107.0,39.955454,-75.1549,4.0,92,0,"Ramen, Restaurants, Japanese",11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-23:00,11:00-23:00,11:00-22:00
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,6151 Ridge Ave,Philadelphia,PA,19128.0,40.0352350987,-75.2167929785,3.0,54,1,"Restaurants, Pizza",Closed,11:00-21:45,11:00-21:45,11:00-21:45,11:00-21:45,11:00-21:45,12:00-20:30
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,3124 Richmond St,Philadelphia,PA,19134.0,39.9822933,-75.1031599,4.5,29,1,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife",Closed,16:00-22:00,16:00-22:00,16:00-22:00,16:00-23:00,12:00-23:00,11:00-16:00
4TQMOy00KD_54xSFwKgMZw,Ndulge,4373 Main St,Philadelphia,PA,19127.0,40.025842293,-75.2243893677,3.5,15,0,"Restaurants, Thai, Food, Cafes, Cupcakes",11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-22:00,11:00-22:00,11:00-21:00
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,Philadelphia,PA,19111.0,40.0603863,-75.0845897,4.5,116,1,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs",Closed,13:15-20:30,14:00-20:30,14:00-20:30,11:45-21:00,14:00-21:00,11:45-20:00
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,Philadelphia,PA,19107.0,39.9533224742,-75.1590000821,4.0,485,1,"Restaurants, Cajun/Creole",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,610 S 5th St,Philadelphia,PA,19147.0,39.9415201345,-75.1509702725,4.5,159,1,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai",Closed,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,Closed
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,1444 S Broad St,Philadelphia,PA,19146.0,39.931855,-75.168473,3.5,47,0,"Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea",07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,8630 Germantown Ave,Philadelphia,PA,19118.0,40.0771492176,-75.2087070076,3.0,151,1,"Breakfast & Brunch, Restaurants",Closed,Closed,08:00-14:30,07:30-16:00,07:30-15:00,07:30-15:00,08:00-14:00
N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,106 S 40th St,Philadelphia,PA,19104.0,39.9551144,-75.202451,3.5,148,0,"Food Delivery Services, Halal, Food, Restaurants, Buffets, Pakistani, Indian",11:00-21:45,11:00-21:45,11:00-21:45,11:00-21:45,11:00-22:45,11:00-22:45,11:00-21:45
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,"2041 Coral St, Ste 2",Philadelphia,PA,19125.0,39.9813471541,-75.1322471288,4.5,10,1,"Shopping, Restaurants, Cafes, Fashion",Closed,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,8500 Essington Ave,Philadelphia,PA,19153.0,39.8773236045,-75.2436721818,2.5,172,1,"Cheesesteaks, Restaurants",05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00
xb-qtXVZ7xFr51Se5fAZjg,Saige Café,"1001 N 2nd St, Ste 9",Philadelphia,PA,19123.0,39.9667910353,-75.1400172338,3.0,14,0,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies",07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00
LSdg7x7HhUdvYUevvYVHjQ,Sunoco,3200 Richmond St,Philadelphia,PA,19102.0,39.983319,-75.101136,2.5,8,1,"Restaurants, Delis, Sandwiches",Closed,Closed,Closed,Closed,Closed,Closed,Closed
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,4618 Baltimore Ave,Philadelphia,PA,19143.0,39.9486639126,-75.2158315415,4.5,458,1,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00
dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,1337 W Olney Ave,Philadelphia,PA,19141.0,40.0390528,-75.1438169,3.5,13,1,"Specialty Food, Meat Shops, Sandwiches, Food, Restaurants, Delis, Grocery",07:00-22:30,07:00-22:30,08:00-20:00,07:00-22:30,07:00-22:30,08:00-18:00,08:00-18:00
68ThEdiK0eWCEgGEmV9Tng,Southgate,1801 Lombard St,Philadelphia,PA,19146.0,39.9455687,-75.1717901,4.0,323,1,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars",Closed,16:00-21:00,16:00-21:00,16:00-21:00,16:00-22:00,14:00-22:00,14:00-21:00
USyJiGIvZ8fHjRVaVTu1Zw,Tony Jr's,118 S 18th St,Philadelphia,PA,19103.0,39.951157,-75.170714,3.0,71,0,"Restaurants, Sandwiches, Cheesesteaks",Closed,Closed,Closed,Closed,Closed,Closed,Closed
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,3492 Tilden St,Philadelphia,PA,19129.0,40.0128847,-75.1901845,4.5,31,1,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers",Closed,07:00-13:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,743 S 8th St,Philadelphia,PA,19147.0,39.940221217,-75.1557966694,4.5,49,1,"Restaurants, Italian",Closed,Closed,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,16:00-21:00
aurl4I40YVQfQ8loOdgKCg,Crown Fried Chicken,933 N Broad St,Philadelphia,PA,19123.0,39.971145,-75.15902,3.5,11,1,"Chicken Wings, Restaurants, Fast Food",10:00-03:00,10:00-03:00,10:00-03:00,10:00-03:00,10:00-03:00,10:00-04:00,10:00-04:00
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,38th and Spruce,Philadelphia,PA,19104.0,39.9512903,-75.1992768,4.0,81,1,"Restaurants, Food, Caribbean, Food Trucks",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,250 Catharine St,Philadelphia,PA,19147.0,39.9378287,-75.1482632,4.5,85,1,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian",Closed,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,01:00-22:00
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,1601 E Passyunk Ave,Philadelphia,PA,19148.0,39.929738,-75.1633963,4.0,219,0,"Restaurants, Sushi Bars, Desserts, Food, Japanese",Closed,17:00-22:00,17:00-22:00,17:00-22:00,17:00-23:00,17:00-23:00,17:00-22:00
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,8500 Henry Ave,Philadelphia,PA,19128.0,40.0626011,-75.2372078,3.0,30,0,"Restaurants, Mexican",11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-20:00
3VKE0_-KhU_qMYHxcyVcDg,Just To Serve You Too,5132 N 5th St,Philadelphia,PA,19120.0,40.029648,-75.1322934,3.0,68,0,"Seafood, Restaurants, Soul Food, Southern",Closed,Closed,Closed,Closed,Closed,Closed,Closed
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,914 S Broad St,Philadelphia,PA,19146.0,39.9394402,-75.1668049,2.0,55,0,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers",06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-01:00,06:00-01:00,06:00-00:00
fKDV_dlDhXd7P5kZi97Kng,The Spot,272 S 20th St,Philadelphia,PA,19103.0,39.9483749,-75.1744886,3.0,80,0,"Breakfast & Brunch, Pizza, Greek, Restaurants, Food",10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,09:00-23:00,09:00-22:00
XgLrkmIqIrD_pl67lAovEQ,The Bourse,111 S Independence Mall E,Philadelphia,PA,19106.0,39.9498192516,-75.1486551501,2.0,35,0,"Food Court, Shopping, Shopping Centers, IT Services & Computer Repair, Local Services, Souvenir Shops, Restaurants",07:00-20:00,09:00-18:00,07:00-22:00,07:00-22:00,07:00-00:00,07:00-00:00,09:00-18:00
_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,4715 N Front St,Philadelphia,PA,19120.0,40.02202,-75.1240606,3.5,10,1,"Latin American, Restaurants",Closed,Closed,Closed,Closed,Closed,Closed,Closed
Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,3600 Lancaster Ave,Philadelphia,PA,19104.0,39.9584222,-75.1938661,2.5,59,0,"Restaurants, Mexican",12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,Closed
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,2730 W Girard Ave,Philadelphia,PA,19130.0,39.9741307,-75.1815903,3.0,77,1,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",Closed,12:00-20:00,12:00-20:00,12:00-20:00,12:00-21:00,12:00-21:00,12:00-20:00
KAZ2Z3831eb5lHtUDKa8kA,Saladworks,"2955 Market St, Ste 221",Philadelphia,PA,19104.0,39.9557501,-75.1819889,3.5,8,1,"Salad, Restaurants, American (Traditional), Food, Sandwiches, Do-It-Yourself Food, Soup, Vegetarian, American (New)",10:00-17:30,10:00-19:30,10:00-19:30,10:00-19:30,10:00-19:30,10:00-19:30,10:00-17:30
cLlBDZxYJ1dt1JgMuZnXew,Olly,700 S 5th St,Philadelphia,PA,19147.0,39.9408776,-75.1511064,4.0,51,1,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants",Closed,Closed,16:00-21:00,16:00-21:00,12:00-21:00,12:00-21:00,12:00-20:00
V5KiEoH4E86GA2S3RQkf1g,Spice Grill,3447-61 Richmond St,Philadelphia,PA,19134.0,39.9862724,-75.094699,3.5,12,1,"Restaurants, Chinese, Asian Fusion",11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,3711 Market St,Philadelphia,PA,19104.0,39.9567105161,-75.1971027811,4.0,783,1,"Restaurants, Chinese, Szechuan",11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:30,11:30-21:30,11:30-21:00
icp_IKE9zIkAqAucyS1vTA,Hakka Beef House,927 Race St,Philadelphia,PA,19107.0,39.9554945,-75.1552563,4.5,33,0,"Restaurants, Chinese",11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-23:00,11:00-23:00,11:00-22:30
f8xDi3rajxvIqS73N93Afw,Guavaberry Foods & Drinks ,776 S 4th St,Philadelphia,PA,19147.0,39.938371,-75.1501031,4.0,13,1,"Delis, Convenience Stores, Restaurants, Cafes, Food",08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:30-19:00
A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,3925 Walnut St,Philadelphia,PA,19104.0,39.9541715545,-75.2013800841,4.0,252,0,"Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food",08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-00:00,08:00-00:00,08:00-22:30
SPWyzJPFP2TT7x0BsqaBqQ,Chenango Restaurant & Bar,1031 Germantown Ave,Philadelphia,PA,19123.0,39.9664073,-75.1386733,2.0,10,0,"Barbeque, Bars, Nightlife, Restaurants",16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-01:00,16:00-01:00,10:00-21:00
Knt2mnsG15akKb9cjSiuxw,John's Seafood,1326 W Girard Ave,Philadelphia,PA,19123.0,39.9709958,-75.1581617,3.0,9,1,"Restaurants, Seafood",Closed,Closed,Closed,Closed,Closed,Closed,Closed
ugSVRAKO6mxvsrElFg8USw,México Lindo,700 Moore St,Philadelphia,PA,19148.0,39.926402,-75.1575374,4.5,73,1,"Mexican, Restaurants",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
mpVZG520RL-K1YeQi55ZPg,The Blarney Stone,3929 Sansom St,Philadelphia,PA,19104.0,39.9548253,-75.2009783,3.5,46,0,"Burgers, American (Traditional), Karaoke, Pubs, Restaurants, Nightlife, Bars",17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,17:00-02:00,Closed
duf2PORLOL6it1dTGhSnKA,Junes Breakfast,6227 Lancaster Ave,Philadelphia,PA,19151.0,39.9850064107,-75.246888042,2.5,20,1,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)",06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:30-14:30,06:30-14:30
